,umap_x,umap_y,umap_z
246,7.4562693,0.8257903,4.5132623
247,6.7254186,0.7597917,3.3785045
248,7.06798,0.2592844,3.2534215
249,7.6877265,-0.06872811,3.7758315
250,6.676462,0.4818732,3.3331535
251,8.46266,5.3872304,5.649417
252,8.037166,4.2719936,11.738852
253,8.853415,4.304722,11.339093
254,7.569956,4.7288175,11.707708
255,8.855022,4.040238,11.522438
256,8.58882,3.8890798,11.736464
257,7.588368,3.7686987,4.634872
258,7.318424,4.4412804,11.776646
259,8.19801,3.7424362,11.821369
260,8.338083,4.6797705,11.384988
261,7.779121,4.186638,11.373094
262,7.3769803,0.9355374,4.176269
263,8.420295,4.1392064,11.741158
264,8.914888,4.5734663,5.1990056
265,8.47652,-0.20701143,3.8580966
266,8.616004,-0.56936395,3.7758338
267,0.6900365,14.940183,5.3327603
268,8.071775,0.8211187,4.5286064
269,7.8524594,0.35296622,3.4123256
270,8.2626915,-0.045563374,4.1671352
271,8.472118,5.459699,7.461192
272,8.499987,4.5993733,6.353847
273,7.5992312,4.4022975,5.5089965
274,8.182407,4.3131175,11.7199
275,10.124747,7.0789175,10.145861
276,7.7543607,3.9473104,11.620659
277,9.516438,6.599793,9.904124
278,0.776986,14.870537,4.941947
279,8.169481,1.7583146,5.3620715
280,6.9799733,0.6142,3.7788715
281,0.13294162,14.123732,4.4519897
282,8.114327,3.7889762,4.766881
283,0.48923957,14.52175,4.64191
284,7.0654364,0.62695855,3.6139078
285,7.6340127,4.507465,10.887761
286,8.681313,4.495154,5.555237
287,7.9497433,4.2359853,11.785803
288,7.895813,4.332815,5.6351166
289,8.143447,-0.29335195,3.6098678
290,7.5286183,4.2110667,4.73298
291,7.812903,3.7687776,5.3525076
292,0.4697369,14.501323,4.6377277
293,8.518466,5.323128,5.618058
294,7.914545,-0.11887103,3.322262
295,8.282325,1.3079884,4.9209156
296,7.9706516,4.5574164,11.013447
297,7.4602027,4.2114773,5.250871
298,8.099613,4.476817,11.136877
299,7.8835435,0.6503141,4.5485206
300,0.6465218,10.857592,5.42914
301,8.537223,4.0896816,10.451896
302,7.2843313,0.22358564,3.322814
303,7.9144545,0.17150407,3.543243
304,8.475698,5.5303473,7.6557984
305,8.917404,-0.48803434,4.137086
306,7.4794955,0.6658853,3.1325536
307,8.207861,3.8253956,11.832417
308,7.5313396,4.3061705,11.814511
309,18.156624,5.711974,4.8304796
310,7.6619525,1.9018762,4.724881
311,9.280132,6.654382,10.737904
312,18.442152,5.615228,5.1114817
313,7.5630603,-0.032405335,3.1769285
314,7.2072406,0.41716704,3.7989469
315,8.408699,4.8340793,11.486512
316,8.13905,4.6165977,10.141782
317,7.7352595,-0.0756187,3.8532925
318,8.514796,4.0530357,10.638576
319,18.160625,5.641883,4.7897177
320,8.2868395,1.5930982,5.353389
321,8.685028,3.815675,11.652868
322,7.925175,4.680503,11.220658
323,8.171578,1.7954834,5.337215
324,7.8874884,5.699377,7.313231
325,18.380796,5.400919,4.846131
326,7.8356442,5.7213244,7.062472
327,8.360257,0.95986784,4.68166
328,7.9272842,0.40033227,4.398791
329,-1.3407447,11.40042,6.917271
330,19.363958,4.6315255,5.489121
331,8.224168,1.367933,5.1127357
332,7.506593,4.42834,11.472194
333,6.8510947,0.3063779,3.3995166
334,8.801269,4.4188623,11.671456
335,0.63431996,10.909219,5.3822207
336,7.2425575,0.40161738,4.3577557
337,7.8332915,0.17603411,3.8327053
338,8.06122,0.073025845,4.198833
339,19.339598,4.6559143,5.4454665
340,7.8791447,0.1534515,4.453452
341,8.159489,-0.6931777,3.359184
342,8.877237,4.4328904,5.652184
343,7.5078626,0.24614048,4.3879204
344,8.1726885,5.1882267,8.731429
345,6.996702,1.1658131,3.5569932
346,7.366386,0.035659198,3.054904
347,8.08746,4.6452403,10.150383
348,7.565243,3.4729307,4.417188
349,8.169479,5.0732455,9.4344225
350,7.2634964,6.014964,5.705466
351,8.219671,1.7330884,5.231983
352,0.17647077,14.173298,4.4726505
353,7.3408275,0.2865881,3.3187027
354,7.347311,2.3985167,4.598824
355,8.584511,4.604127,6.4307914
356,8.7188635,-0.33370802,4.0281105
357,6.69702,0.7614339,3.3107362
358,7.7432494,0.063263096,3.6980274
359,7.253676,0.30532667,3.388518
360,7.0112224,0.5530964,3.812213
361,6.8832383,0.36427304,3.1386006
362,8.357015,3.876442,4.880562
